Region,Province,Commodity,Area Harvested (ha),Production (mt),Yield (mt/ha)
Ilocos Region,Pangasinan,Palay,1200.50,5402.25,4.50
Central Luzon,Nueva Ecija,Palay,2100.00,10500.00,5.00
CALABARZON,Batangas,Corn,850.00,2975.00,3.50
Western Visayas,Iloilo,Palay,1600.00,7200.00,4.50
Northern Mindanao,Bukidnon,Corn,1400.00,5600.00,4.00
Davao Region,Davao del Sur,Cavendish Banana,980.00,19600.00,20.00
SOCCSKSARGEN,South Cotabato,Pineapple,640.00,25600.00,40.00
Cagayan Valley,Isabela,Palay,1880.00,8460.00,4.50
Bicol Region,Camarines Sur,Coconut,1120.00,3360.00,3.00
Central Visayas,Cebu,Corn,430.00,1290.00,3.00
