Region,Province,Commodity,Area Harvested (ha),Production (mt),Yield (mt/ha)
,Pangasinan,Palay,abc,5402.25,4.50
Central Luzon,Nueva Ecija,,2100.00,-50.00,5.00
CALABARZON,Batangas,Corn,,2975.00,3.50
Western Visayas,Iloilo,UnknownCrop,1600.00,7200.00,4.50
Northern Mindanao,Bukidnon,Corn,1400.00,not-a-number,4.00
Davao Region,,Cavendish Banana,980.00,19600.00,20.00
SOCCSKSARGEN,South Cotabato,Pineapple,-10.00,25600.00,40.00
Cagayan Valley,Isabela,Palay,1880.00,8460.00,
Bicol Region,Camarines Sur,Coconut,xxxx,3360.00,3.00
, , , , ,
